sample,ENSEMBL,occurrences,avg_value,person,timepoint
01_004_GMA_12M_PC,ENST00000001008,23,0.5089759086086957,01-004-GMA,12M
01_004_GMA_12M_PC,ENST00000002165,19,0.5703708397368421,01-004-GMA,12M
01_004_GMA_12M_PC,ENST00000002501,18,0.5747105215277778,01-004-GMA,12M
01_004_GMA_12M_PC,ENST00000003302,18,0.5367924383333333,01-004-GMA,12M
01_004_GMA_12M_PC,ENST00000003583,13,0.5188771036153846,01-004-GMA,12M
01_004_GMA_12M_PC,ENST00000003912,35,0.5781461258285715,01-004-GMA,12M
01_004_GMA_12M_PC,ENST00000004531,11,0.8568392581818182,01-004-GMA,12M
01_004_GMA_12M_PC,ENST00000005180,7,0.8053100214285714,01-004-GMA,12M
01_004_GMA_12M_PC,ENST00000005260,21,0.5286162360000001,01-004-GMA,12M
01_004_GMA_12M_PC,ENST00000005284,16,0.566861750375,01-004-GMA,12M
